id,name,originalAmountStaked,stakeTime
2c55eea1a38320cb3f0ed8ba7e6450073b197b51f7c163e1c8f59ed9bb5688ca,ergopad Stake Key,228971.83,2022-02-28 05:46:40.188686
9862d48c6db0a3f6ce7688b1e4ce20e40131ba308e2c74ecea63c9b43040d5bf,ergopad Stake Key,225000.0,2022-03-02 00:08:42.301836
85e8e7bee63ed8415be9acea4c3d2ddffe33944c42ccb623a948856ab3eecd6e,ergopad Stake Key,216666.66,2022-03-01 18:14:15.823584
851301d6f325d0f3cab8ca917c9a276be037d00418302db767ea42eb0ad95a65,ergopad Stake Key,208525.57,2022-02-28 07:40:02.825678
a0f165bf50c70965f8f7943ef593a8af6e7983c0c4125a66aec5153df1a0b022,ergopad Stake Key,188844.0,2022-03-01 09:34:09.727046
8ac38a58d4fd880dfef60a857e7efb367992e5a1030f5d4bb718774de217b17a,ergopad Stake Key,183333.32,2022-02-28 08:40:45.152015
bf47d064a684075481614a4060b0672aaf742d27e44cd48c7b412c6779e0cb15,ergopad Stake Key,181766.66,2022-02-28 12:07:39.005762
e10c0ac2dbee3413282c9e2c721fb468592405c133d7f9d6a59a3177d1470842,ergopad Stake Key,168993.32,2022-02-28 11:02:03.201905
180d04cc8f91578dc342113cdc03ce0267ede56c52855e17912d2bba9c165fd9,ergopad Stake Key,166666.66,2022-02-28 10:34:54.375645
3f94f75ba345ce237ebc9bfe5713f4cf3b99e6d74633c1b8bb9f0b87155bb2de,ergopad Stake Key,155017.75,2022-03-09 16:21:40.691606
fac519e72da903421335152b9f29ffa580d88dc8a1e5c7e090c24a467dd982be,ergopad Stake Key,137220.0,2022-02-27 21:52:08.663708
2dd9a4c6f6d6999077da7f0ab83d5d43fad5a1c440223a35d3cc765d461815d8,ergopad Stake Key,130946.0,2022-02-27 20:28:12.416739
34bac2426283fb93f006c2862162e492164846f516a5004ac7e7c463a50b3f3b,ergopad Stake Key,130499.98,2022-02-28 07:17:08.280070
4879b6beb74b0afc91a683a6c2d185315036911ec8697a06048c38239145beb5,ergopad Stake Key,121212.0,2022-02-28 19:11:26.688758
76dd154bc54ed8d80f0bbdec013977119709cdf3b8c7e31578858668aeda7cdd,ergopad Stake Key,116612.44,2022-02-28 16:24:40.381684
724aeb0d780e94db880a8aed035ef31226c12ee7c8fd832921237cdf5a6df023,ergopad Stake Key,111044.0,2022-02-28 22:38:36.625035
763600016d0bb00580332f1a19a96c9cb11ce70bfc9cd3271278efd5dbc15171,ergopad Stake Key,105827.31,2022-02-27 22:48:18.809248
471a14ac6270025a2f64d82a7033cc6a3c19cb98af2117b6559642ad4dca2d32,ergopad Stake Key,103597.3,2022-02-28 20:12:33.994347
98a31b405f200f6be8524f2e5023fb2bca845576b1f7797c474b932d75e7470c,ergopad Stake Key,102938.86,2022-02-27 22:39:20.537187
cead486eac20ae35bd30ab3404fb82440dabac9f190d9914f7a4f151b27b2153,ergopad Stake Key,101712.0,2022-02-28 00:56:10.811467
38152e549e551f231447b1a2b413161679290e97f542455a667615b629ccfe1c,ergopad Stake Key,101569.52,2022-02-27 23:26:54.044774
438b337538980bc9965788e6807e343b1fb5719a4ea563341796c8c686dc2454,ergopad Stake Key,101249.16,2022-02-28 00:29:50.797083
