Uninstalls by OS
Date,Chrome OS,Linux,Mac OS,Other,Windows
11/17/22,2,0,3,0,7
11/18/22,0,1,0,0,2
11/19/22,0,0,1,0,7
11/20/22,0,0,0,0,7
11/21/22,1,2,1,0,11
11/22/22,0,0,3,0,6
11/23/22,0,1,1,0,6
11/24/22,0,0,2,0,3
11/25/22,0,1,2,0,12
11/26/22,0,1,1,0,4
11/27/22,0,0,0,0,21
11/28/22,1,0,0,0,17
11/29/22,0,0,0,0,8
11/30/22,0,0,0,0,9
12/1/22,0,0,0,0,4
12/2/22,0,0,1,0,5
12/3/22,0,0,0,0,1
12/4/22,0,0,0,0,4
12/5/22,1,1,1,0,9
12/6/22,0,0,2,0,24
12/7/22,1,0,2,0,9
12/8/22,0,0,0,0,5
12/9/22,0,0,0,0,10
12/10/22,0,0,4,0,6
12/11/22,1,0,1,0,7
12/12/22,2,1,2,0,17
12/13/22,0,1,1,0,8
12/14/22,0,0,1,0,8
12/15/22,0,1,1,0,4
12/16/22,0,0,0,0,12
12/17/22,0,0,1,0,9
12/18/22,0,1,0,0,8
12/19/22,0,0,3,0,4
12/20/22,0,0,0,0,11
12/21/22,0,0,1,0,6
12/22/22,0,0,2,0,7
12/23/22,0,0,2,0,13
12/24/22,0,0,2,0,8
12/25/22,0,1,0,0,6
12/26/22,1,0,1,0,4
12/27/22,0,0,3,0,6
12/28/22,0,0,0,0,7
12/29/22,0,0,4,0,6
12/30/22,0,0,4,0,4
12/31/22,0,0,1,0,1
1/1/23,0,1,0,0,9
1/2/23,0,0,1,0,7
1/3/23,0,0,2,0,9
1/4/23,0,1,2,0,10
1/5/23,0,0,1,0,11
1/6/23,0,0,0,0,12
1/7/23,0,1,1,0,7
1/8/23,0,0,2,0,9
1/9/23,0,0,1,0,6
1/10/23,0,0,0,0,9
1/11/23,0,1,0,0,5
1/12/23,0,1,0,0,11
1/13/23,1,1,2,0,7
1/14/23,1,0,1,0,6
1/15/23,0,0,1,0,11
1/16/23,0,0,2,0,6
1/17/23,1,0,0,0,9
1/18/23,1,0,1,0,5
1/19/23,0,0,2,0,7
1/20/23,0,2,3,0,3
1/21/23,0,0,1,0,9
1/22/23,1,1,0,0,8
1/23/23,0,0,1,0,6
1/24/23,0,0,2,0,3
1/25/23,0,0,1,0,2
1/26/23,0,0,1,0,13
1/27/23,0,1,1,0,8
1/28/23,0,0,1,0,3
1/29/23,0,1,0,1,8
1/30/23,0,0,1,0,16
1/31/23,1,0,1,0,11
2/1/23,0,0,0,0,7
2/2/23,0,0,0,1,8
2/3/23,0,1,1,0,6
2/4/23,0,0,1,0,9
2/5/23,0,0,2,0,6
2/6/23,0,1,4,0,5
2/7/23,0,0,3,0,8
2/8/23,0,1,1,0,8
2/9/23,1,1,0,0,3
2/10/23,0,1,5,0,6
2/11/23,0,0,1,0,4
2/12/23,0,0,0,0,10
2/13/23,0,0,1,0,7
2/14/23,0,0,0,1,6
2/15/23,1,0,0,0,6
2/16/23,0,0,2,1,16
2/17/23,0,0,0,1,9
2/18/23,0,0,2,1,9
2/19/23,1,0,0,0,9
2/20/23,0,0,1,0,4
2/21/23,0,1,1,0,10
2/22/23,0,0,2,0,9
2/23/23,0,0,1,0,5
2/24/23,1,0,2,0,9
2/25/23,0,0,0,0,9
2/26/23,0,1,2,0,4
2/27/23,0,0,1,0,13
2/28/23,0,0,0,0,5
3/1/23,0,0,1,0,7
3/2/23,0,1,0,0,4
3/3/23,0,0,0,0,4
3/4/23,0,0,1,0,1
3/5/23,0,1,3,0,5
3/6/23,0,1,2,0,4
3/7/23,0,0,3,0,9
3/8/23,0,1,2,1,10
3/9/23,0,0,0,0,5
3/10/23,0,0,0,0,3
3/11/23,0,0,2,0,8
3/12/23,0,0,1,0,7
3/13/23,0,1,0,0,14
3/14/23,0,0,4,0,12
3/15/23,0,1,0,0,6
3/16/23,0,0,2,0,9
3/17/23,0,1,1,0,5
3/18/23,0,0,1,0,7
3/19/23,0,0,1,0,9
3/20/23,0,0,1,0,12
3/21/23,0,1,2,0,13
3/22/23,0,0,2,0,5
3/23/23,0,0,0,0,7
3/24/23,0,0,0,0,7
3/25/23,0,0,1,0,6
3/26/23,0,0,2,0,7
3/27/23,0,0,1,0,9
3/28/23,0,1,0,0,8
3/29/23,1,0,1,0,11
3/30/23,0,0,0,1,14
3/31/23,0,0,2,0,3
4/1/23,1,0,1,0,5
4/2/23,0,0,1,0,9
4/3/23,0,2,0,0,9
4/4/23,0,1,3,0,12
4/5/23,0,0,1,1,5
4/6/23,0,0,0,0,12
4/7/23,0,0,1,0,3
4/8/23,1,0,0,0,12
4/9/23,0,0,1,0,6
4/10/23,0,0,6,0,9
4/11/23,0,3,1,0,5
4/12/23,0,0,0,0,8
4/13/23,0,0,1,0,5
4/14/23,0,0,1,0,8
4/15/23,1,0,0,0,5
4/16/23,0,0,1,0,6
4/17/23,1,1,2,0,11
4/18/23,0,0,2,1,12
4/19/23,0,0,4,0,12
4/20/23,0,0,1,0,7
4/21/23,0,0,0,0,10
4/22/23,0,1,0,0,4
4/23/23,0,0,1,0,5
4/24/23,0,0,0,0,3
4/25/23,0,1,1,0,7
4/26/23,0,0,0,0,56
4/27/23,0,1,0,0,6
4/28/23,0,1,3,0,5
4/29/23,0,1,0,0,2
4/30/23,0,1,0,0,6
5/1/23,1,1,2,0,14
5/2/23,4,0,2,0,9
5/3/23,1,0,1,0,1
5/4/23,0,0,2,0,8
5/5/23,0,0,2,0,18
5/6/23,1,1,0,0,7
5/7/23,0,2,0,0,2
5/8/23,0,0,0,0,3
5/9/23,0,0,2,0,6
5/10/23,0,1,1,1,2
5/11/23,0,0,0,0,5
5/12/23,0,0,2,0,3
5/13/23,0,3,1,0,10
5/14/23,0,0,0,0,0
