Installs by language
Date,Arabic,Bulgarian,Catalan,Chinese (China),Chinese (Taiwan),Croatian,Czech,Danish,Dutch,English,English (United Kingdom),English (United States),Estonian,Finnish,French,German,Greek,Hebrew,Hungarian,Indonesian,Italian,Japanese,Korean,Latvian,Lithuanian,Norwegian,Persian,Polish,Portuguese (Brazil),Portuguese (Portugal),Romanian,Russian,Serbian,Slovak,Slovenian,Spanish,Swedish,Thai,Turkish,Ukrainian,Vietnamese,en-ca,fr-ca
2/22/22,0,0,0,0,0,0,0,0,1,0,3,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2/23/22,0,0,0,0,1,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
2/24/22,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2/25/22,0,0,0,1,0,0,0,0,1,0,1,18,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/26/22,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0
2/27/22,0,0,0,2,0,0,0,0,0,0,8,69,0,0,2,3,0,0,0,38,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2/28/22,0,0,0,0,0,0,0,0,1,0,13,67,0,0,0,1,0,0,0,12,1,0,1,1,0,0,0,1,4,3,1,1,0,0,0,0,0,0,0,0,2,0,0
3/1/22,0,0,0,0,0,0,0,0,1,0,7,20,0,0,1,2,2,0,0,9,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0
3/2/22,0,0,0,1,0,0,0,0,1,0,6,29,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
3/3/22,0,0,0,0,0,0,0,0,0,0,3,16,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3/4/22,0,0,0,0,0,1,0,0,0,0,5,13,0,0,0,2,0,0,0,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
3/5/22,0,0,0,0,1,0,0,0,0,0,3,9,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
3/6/22,0,0,0,0,0,0,0,0,1,0,2,11,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,1,0,0
3/7/22,0,0,0,1,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8/22,0,0,0,0,0,0,0,0,1,0,4,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0
3/9/22,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/10/22,0,0,0,3,0,0,0,0,0,0,20,58,0,0,1,1,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0
3/11/22,0,0,0,4,0,0,1,0,0,0,15,29,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/12/22,0,0,0,1,0,0,0,0,0,0,4,19,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/13/22,0,0,0,7,0,0,0,1,0,0,9,54,0,0,1,1,0,0,0,19,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3/14/22,0,0,0,3,0,0,0,0,1,0,3,20,0,0,0,0,0,0,0,11,1,0,0,0,0,1,0,0,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0
