Installs by OS
Date,Chrome OS,Linux,Mac OS,Other,Windows
10/11/22,0,1,1,3,9
10/12/22,0,0,4,4,13
10/13/22,0,1,1,3,9
10/14/22,0,0,3,4,11
10/15/22,0,0,3,3,19
10/16/22,0,0,1,2,11
10/17/22,0,2,4,3,22
10/18/22,1,1,3,3,13
10/19/22,2,0,3,4,20
10/20/22,0,0,1,3,14
10/21/22,1,2,0,2,23
10/22/22,0,1,2,3,16
10/23/22,0,1,0,4,14
10/24/22,0,0,0,3,9
10/25/22,2,2,4,4,14
10/26/22,0,0,3,3,10
10/27/22,0,0,3,3,8
10/28/22,0,0,1,5,6
10/29/22,0,1,5,2,15
10/30/22,2,0,1,5,14
10/31/22,2,1,3,3,5
11/1/22,0,1,1,1,6
11/2/22,2,1,0,3,6
11/3/22,0,2,1,1,12
11/4/22,0,2,1,2,7
11/5/22,0,1,2,1,9
11/6/22,2,0,1,2,12
11/7/22,0,1,1,6,14
11/8/22,0,0,0,3,7
11/9/22,3,0,6,5,21
11/10/22,0,0,6,3,26
11/11/22,1,1,4,5,32
11/12/22,1,1,6,2,32
11/13/22,1,4,10,2,35
11/14/22,1,1,6,2,30
11/15/22,0,2,3,3,14
11/16/22,0,0,5,1,15
11/17/22,2,0,5,3,16
11/18/22,0,0,1,5,10
11/19/22,0,0,0,7,14
11/20/22,0,0,4,11,24
11/21/22,1,3,4,4,11
11/22/22,2,1,1,6,13
11/23/22,0,0,1,3,16
11/24/22,0,2,2,2,9
11/25/22,0,1,1,5,9
11/26/22,0,1,1,3,15
11/27/22,0,2,2,51,74
11/28/22,1,4,3,16,28
11/29/22,2,0,3,5,18
11/30/22,2,1,4,5,15
12/1/22,2,1,0,5,16
12/2/22,2,1,1,5,6
12/3/22,2,1,3,4,13
12/4/22,4,1,0,4,8
12/5/22,2,2,3,22,32
12/6/22,3,2,1,32,61
12/7/22,2,1,2,13,34
12/8/22,2,1,4,7,22
12/9/22,3,1,1,4,20
12/10/22,2,1,6,3,21
12/11/22,6,1,2,2,23
12/12/22,3,1,5,3,15
12/13/22,2,4,4,5,18
12/14/22,2,1,4,3,16
12/15/22,3,2,1,5,11
12/16/22,2,2,1,55,80
12/17/22,3,0,1,21,66
12/18/22,4,3,5,15,34
12/19/22,2,0,1,9,28
12/20/22,3,0,2,4,21
12/21/22,2,0,3,3,21
12/22/22,2,0,2,3,20
12/23/22,2,1,1,3,15
12/24/22,2,0,2,4,10
12/25/22,4,0,2,3,10
12/26/22,2,0,4,4,24
12/27/22,2,0,4,2,9
12/28/22,2,2,2,5,16
12/29/22,2,1,2,2,17
12/30/22,2,1,4,4,6
12/31/22,2,0,3,1,12
1/1/23,4,0,5,1,11
1/2/23,2,0,3,1,11
1/3/23,2,1,4,6,22
1/4/23,2,1,2,3,17
1/5/23,2,2,4,8,15
1/6/23,3,4,10,4,25
1/7/23,2,2,7,8,38
1/8/23,5,0,9,2,26
1/9/23,2,1,10,3,26
1/10/23,2,2,4,6,29
1/11/23,2,1,5,4,30
1/12/23,2,3,4,2,17
1/13/23,3,1,9,5,28
1/14/23,2,1,6,5,28
1/15/23,5,4,12,8,143
1/16/23,2,3,7,2,36
1/17/23,2,1,3,6,30
1/18/23,3,1,2,7,29
1/19/23,2,0,5,3,16
1/20/23,2,1,5,1,16
1/21/23,2,1,4,4,27
1/22/23,6,1,4,3,31
1/23/23,2,0,5,5,17
1/24/23,2,2,5,4,22
1/25/23,2,3,5,4,31
1/26/23,3,0,4,7,27
1/27/23,2,1,8,5,29
1/28/23,2,0,8,3,23
1/29/23,4,1,10,11,50
1/30/23,3,3,6,9,55
1/31/23,3,2,6,4,31
2/1/23,2,0,1,4,23
2/2/23,3,1,5,4,26
2/3/23,2,3,3,5,23
2/4/23,3,2,2,4,16
2/5/23,5,1,4,1,27
2/6/23,2,2,4,3,18
2/7/23,2,0,2,1,17
2/8/23,2,1,7,2,14
2/9/23,2,0,2,4,19
2/10/23,2,1,5,3,19
2/11/23,3,1,3,5,15
2/12/23,4,1,4,3,12
2/13/23,2,1,3,4,15
2/14/23,2,0,2,3,18
2/15/23,2,3,8,18,53
2/16/23,3,1,3,14,36
2/17/23,2,0,5,5,27
2/18/23,2,1,2,4,17
2/19/23,5,1,3,4,25
2/20/23,2,1,0,5,14
2/21/23,2,1,6,2,20
2/22/23,2,1,5,4,13
2/23/23,0,0,8,3,14
2/24/23,1,0,4,3,22
2/25/23,6,2,3,3,25
2/26/23,5,1,3,3,20
2/27/23,2,1,8,1,19
2/28/23,3,0,3,2,24
3/1/23,2,2,2,3,17
3/2/23,2,2,1,3,16
3/3/23,2,2,0,1,11
3/4/23,2,1,3,3,12
3/5/23,4,1,2,2,14
3/6/23,2,2,4,1,12
3/7/23,2,0,2,1,3
3/8/23,3,3,3,2,14
3/9/23,2,0,3,1,10
3/10/23,2,0,2,2,10
3/11/23,2,0,3,2,11
3/12/23,4,0,2,1,11
3/13/23,2,1,3,2,14
3/14/23,2,0,1,3,11
3/15/23,3,1,1,4,8
3/16/23,2,0,6,2,13
3/17/23,2,0,1,5,7
3/18/23,2,0,2,4,20
3/19/23,4,5,4,3,27
3/20/23,3,0,3,3,17
3/21/23,2,1,4,3,9
3/22/23,2,0,6,9,51
3/23/23,2,2,2,8,20
3/24/23,3,0,2,4,12
3/25/23,3,0,2,0,8
3/26/23,4,0,3,0,14
3/27/23,2,0,3,2,13
3/28/23,2,0,2,3,8
3/29/23,2,1,0,3,15
3/30/23,2,0,3,4,11
3/31/23,2,0,2,3,5
4/1/23,2,1,4,2,13
4/2/23,4,2,6,1,18
4/3/23,2,1,3,2,8
4/4/23,2,1,2,2,12
4/5/23,2,1,2,3,17
4/6/23,2,0,1,1,9
4/7/23,2,0,3,3,9
4/8/23,3,0,4,3,4
4/9/23,4,1,0,2,5
4/10/23,3,0,5,1,13
4/11/23,3,6,6,4,21
4/12/23,2,0,2,5,16
4/13/23,3,2,6,3,29
4/14/23,2,0,6,3,23
4/15/23,3,1,1,4,20
4/16/23,4,2,6,1,28
4/17/23,2,0,4,2,25
4/18/23,4,0,5,4,17
4/19/23,3,1,3,3,13
4/20/23,2,0,3,1,10
4/21/23,2,2,3,2,12
4/22/23,2,3,3,3,15
4/23/23,4,0,0,2,13
4/24/23,2,0,1,4,8
4/25/23,2,2,3,1,8
4/26/23,2,0,2,2,12
4/27/23,2,2,1,4,14
4/28/23,2,1,7,1,7
4/29/23,2,2,0,4,18
4/30/23,4,3,1,2,14
5/1/23,4,0,3,2,12
5/2/23,4,0,3,2,16
5/3/23,2,0,7,2,11
5/4/23,2,0,4,3,13
5/5/23,3,1,2,1,11
5/6/23,3,0,0,3,9
5/7/23,4,2,1,1,11
5/8/23,2,1,0,2,10
5/9/23,2,2,2,2,8
5/10/23,2,2,5,4,8
5/11/23,2,0,6,2,7
5/12/23,2,0,0,4,7
5/13/23,2,4,2,3,11
5/14/23,0,0,0,0,0
